"Timestamp","What is your major ?","How often do you encounter academic/technical terms that are hard to understand?","How often existing definitions feel too complex to understand?","What acually helps you understand a difficult term?","Would a tool that explains academic terms in simple language with examples be useful to you?","Can you name one term that was recently hard to understand?"
"2026/09/17 1:47:25 pm GMT+3","Artificial Intelligence","Very often","Often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Veru useful","Retrieval-Augmented Generation "
"2026/09/17 3:59:25 pm GMT+3","Artificial Intelligence","Never","Never","Knowing English and etymology","Not usefull at all","None"
"2026/09/17 4:17:31 pm GMT+3","Artificial Intelligence","Sometimes","Sometimes","Simple Explanation;Video or Visual;Asking an AI Tool","Veru useful",""
"2026/09/17 4:17:53 pm GMT+3","Artificial Intelligence","Often","Often","Simple Explanation;Video or Visual;Asking an AI Tool","Veru useful",""
"2026/09/17 4:20:29 pm GMT+3","Artificial Intelligence","Often","Very often","Simple Explanation;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/17 4:22:33 pm GMT+3","Artificial Intelligence","Sometimes","Rarley","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Useful","Concept Drift"
"2026/09/17 4:23:45 pm GMT+3","Artificial Intelligence","Rarely","Rarley","Simple Explanation;Practice Example;Asking an AI Tool","Netural","None recently "
"2026/09/17 4:24:18 pm GMT+3","Artificial Intelligence","Often","Very often","Simple Explanation;Asking an AI Tool","Very useful","Federated Learning "
"2026/09/17 4:26:16 pm GMT+3","Artificial Intelligence","Very often","Very often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/17 4:26:43 pm GMT+3","Computer information systems ","Sometimes","Often","Practice Example;Asking an AI Tool","Netural",""
"2026/09/17 4:29:27 pm GMT+3","Computer Science","Rarely","Rarley","Simple Explanation;Asking an AI Tool","Very useful","Granularity"
"2026/09/17 4:32:36 pm GMT+3","Computer Science","Sometimes","Rarley","Simple Explanation;Asking an AI Tool","Useful","Spectrometer"
"2026/09/17 4:33:29 pm GMT+3","Artificial Intelligence","Sometimes","Often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/17 4:34:15 pm GMT+3","Artificial Intelligence","Sometimes","Sometimes","Simple Explanation;Asking an AI Tool","Useful",""
"2026/09/17 4:34:23 pm GMT+3","Artificial Intelligence","Often","Sometimes","Simple Explanation;Asking an AI Tool","Netural",""
"2026/09/17 4:38:03 pm GMT+3","Computer Science","Rarely","Never","Simple Explanation;Practice Example;Asking an AI Tool","Netural",""
"2026/09/17 4:43:15 pm GMT+3","Computer Science","Sometimes","Often","Simple Explanation;Asking an AI Tool","Very useful","Big O Notation"
"2026/09/17 4:46:18 pm GMT+3","Computer Science","Sometimes","Sometimes","Asking an AI Tool","Useful",""
"2026/09/17 4:49:37 pm GMT+3","Computer Science","Sometimes","Often","Video or Visual;Asking an AI Tool","Very useful","Cryptography"
"2026/09/17 4:52:24 pm GMT+3","Artificial Intelligence","Sometimes","Sometimes","Simple Explanation;Asking an AI Tool","Useful","Naive Bayes"
"2026/09/17 5:09:26 pm GMT+3","Cybersecurity","Sometimes","Often","Simple Explanation;Asking an AI Tool","Very useful","Jailbreak "
"2026/09/17 5:37:29 pm GMT+3","Computer Science","Rarely","Rarley","Practice Example","Netural","superposition"
"2026/09/17 6:09:01 pm GMT+3","Artificial Intelligence","Rarely","Rarley","Simple Explanation","Netural","Ratiocinator "
"2026/09/17 6:13:31 pm GMT+3","Cybersecurity","Often","Very often","Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/17 6:53:50 pm GMT+3","Artificial Intelligence","Often","Often","Simple Explanation;Asking an AI Tool","Very useful",""
"2026/09/17 7:09:21 pm GMT+3","Artificial Intelligence","Sometimes","Sometimes","Simple Explanation;Asking an AI Tool","Very useful",""
"2026/09/17 9:14:29 pm GMT+3","Artificial Intelligence","Sometimes","Never","Simple Explanation;Asking an AI Tool","Useful","Entailment"
"2026/09/17 10:05:38 pm GMT+3","Computer Science","Sometimes","Sometimes","Video or Visual","Netural",""
"2026/09/18 11:51:53 am GMT+3","Artificial Intelligence","Often","Often","Asking an AI Tool","Netural",""
"2026/09/18 2:07:09 pm GMT+3","Cybersecurity","Very often","Often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/18 2:07:35 pm GMT+3","Artificial Intelligence","Sometimes","Often","Video or Visual","Very useful","Nothing every thing is good 👍🏼 "
"2026/09/18 2:09:27 pm GMT+3","Computer Science","Very often","Very often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/18 2:09:46 pm GMT+3","Computer Information Systems","Sometimes","Often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Useful",""
"2026/09/18 2:10:43 pm GMT+3","Cybersecurity","Sometimes","Sometimes","Asking an AI Tool","Netural","I don't have any term that I didn't understand."
"2026/09/18 2:14:41 pm GMT+3","Computer Science","Very often","Very often","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/18 2:43:21 pm GMT+3","Computer Science","Sometimes","Rarley","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful","Deprecated"
"2026/09/18 4:01:41 pm GMT+3","Nurse","Sometimes","Rarley","Practice Example","Useful",""
"2026/09/18 4:36:18 pm GMT+3","Marketing ","Very often","Often","Practice Example;Asking an AI Tool","Netural","No"
"2026/09/18 4:38:50 pm GMT+3","Artificial Intelligence","Often","Often","Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/18 5:18:30 pm GMT+3","Computer Science","Often","Sometimes","Simple Explanation","Very useful","I don’t have "
"2026/09/18 11:34:50 pm GMT+3","Computer Science","Rarely","Sometimes","Practice Example;Video or Visual;Asking an AI Tool","Useful",""
"2026/09/18 11:35:00 pm GMT+3","Artificial Intelligence","Often","Often","Asking an AI Tool","Netural",""
"2026/09/18 11:35:10 pm GMT+3","Cybersecurity","Sometimes","Sometimes","Practice Example","Netural",""
"2026/09/18 11:35:19 pm GMT+3","Artificial Intelligence","Very often","Very often","Simple Explanation;Asking an AI Tool","Very useful",""
"2026/09/18 11:35:29 pm GMT+3","Computer Science","Rarely","Rarley","Simple Explanation;Practice Example;Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/18 11:35:42 pm GMT+3","Computer Information Systems","Rarely","Never","Simple Explanation","Not usefull at all",""
"2026/09/19 12:10:18 am GMT+3","Cybersecurity","Often","Sometimes","Asking an AI Tool","Not usefull at all",""
"2026/09/19 12:10:31 am GMT+3","Artificial Intelligence","Very often","Very often","Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/19 12:10:41 am GMT+3","Computer Science","Very often","Rarley","Video or Visual","Very useful",""
"2026/09/19 12:11:01 am GMT+3","Artificial Intelligence","Often","Rarley","Practice Example;Asking an AI Tool","Useful",""
"2026/09/19 12:11:21 am GMT+3","Computer Science","Sometimes","Rarley","Asking an AI Tool","Useful",""
"2026/09/19 12:11:35 am GMT+3","Computer Information Systems","Rarely","Rarley","Simple Explanation","Very useful",""
"2026/09/19 12:11:44 am GMT+3","Cybersecurity","Sometimes","Often","Asking an AI Tool","Netural",""
"2026/09/19 12:14:17 am GMT+3","Cybersecurity","Sometimes","Sometimes","Simple Explanation;Video or Visual","Very useful",""
"2026/09/19 12:58:36 am GMT+3","Cybersecurity","Sometimes","Rarley","Video or Visual;Asking an AI Tool","Very useful",""
"2026/09/19 1:51:11 am GMT+3","Cybersecurity","Often","Often","Simple Explanation;Practice Example;Asking an AI Tool","Very useful","They’re too hard to recall"
